[Fri May 23 23:15:29 2025] REP socket em tcp://*:5552
[Fri May 23 23:15:29 2025] Conectado no broker REQ em tcp://localhost:5559
[Fri May 23 23:15:29 2025] Rank recebido: 3, Coordenador: False
[Fri May 23 23:15:29 2025] Conectando no PUB do Broker em tcp://localhost:5558
[Fri May 23 23:15:30 2025] Mensagem recebida: TIME_REQUEST
[Fri May 23 23:15:30 2025] Enviando tempo local 1748042129.5962126
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 143, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 144, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 145, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 146, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 147, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 148, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 149, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 150, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 151, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 152, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 153, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 154, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 155, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 156, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 157, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 158, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 159, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 160, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 161, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 162, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 163, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 164, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 165, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 166, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 167, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 168, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 169, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 170, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 171, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 172, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 173, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 174, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 175, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 176, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 177, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 178, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 179, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 180, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 181, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
[Fri May 23 23:15:32 2025] Status - Local: 1748042129.596, Lógico: 182, Coordenador rank: 1, É coordenador: False, Servers conhecidos: set()
